Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
3400	-14098.27	-14538.16	439.8865	83.12541	7.229372
3410	-14078.15	-14532.42	454.2685	86.00133	7.058506
3420	-14049.97	-14517.75	467.7758	91.54892	6.893782
3430	-14088.78	-14554.18	465.391	90.16089	6.924552
3440	-14027.84	-14502.21	474.369	83.60059	6.816882
3450	-14079.89	-14548.75	468.8601	85.5367	6.888143
3460	-14055.01	-14515.1	460.081	87.05186	6.990474
3470	-14093.27	-14547.27	453.9976	91.02522	7.04695
3480	-14098.13	-14559.43	461.3065	86.52861	6.976664
3490	-14039.94	-14506.04	466.1023	83.79632	6.916419
3500	-14050.96	-14541.59	490.632	92.90464	6.64219
3510	-14071.1	-14525.65	454.5577	81.42884	7.047237
3520	-14062.65	-14516.18	453.5287	86.8007	7.066162
3530	-14025.5	-14503.88	478.3721	90.06079	6.780699
3540	-14018.2	-14501.68	483.4796	94.78985	6.712751
3550	-14011.57	-14509.34	497.7728	90.08464	6.56531
3560	-14052.79	-14518.92	466.1323	84.19962	6.917273
3570	-14043.6	-14538.93	495.3294	88.24886	6.589315
3580	-14062.67	-14520.06	457.3865	89.57444	7.015463
3590	-14084.74	-14532.55	447.8068	83.80638	7.134758
3600	-14031.22	-14522.09	490.8731	84.31121	6.624131
3610	-14056.07	-14522.96	466.8847	95.34626	6.884455
3620	-14071.15	-14516.54	445.3946	82.19953	7.161698
3630	-14047.66	-14525.43	477.7734	94.39932	6.774725
3640	-14026.63	-14501.84	475.2048	87.73316	6.817256
3650	-14039.62	-14503.24	463.6183	84.37324	6.947536
3660	-14078.51	-14521.93	443.4235	86.8441	7.182454
3670	-14059.64	-14522.3	462.662	93.73806	6.938715
3680	-14048.46	-14515.98	467.5208	83.40789	6.898072
3690	-14007.42	-14492.43	485.0076	90.98125	6.706324
3700	-14047.77	-14508.68	460.915	92.23534	6.965505
3710	-14050.01	-14513.9	463.8902	95.28995	6.91623
