Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
348	0	-14090.52	-14532.61	442.0912	82.31984	7.202066
349	1	-14046.87	-14519.57	472.6989	90.56822	6.842628
350	0	-14085.02	-14527.1	442.0803	82.72354	7.202681
351	1	-14045.68	-14530.33	484.6518	90.01887	6.710988
352	0	-14044.56	-14508.4	463.8399	91.00811	6.938886
353	1	-14023	-14500.96	477.9607	92.82576	6.778846
354	0	-14080.11	-14525.87	445.7601	92.17532	7.130213
355	1	-14055.56	-14525.21	469.65	90.58018	6.876261
356	0	-14090.71	-14523.02	432.3073	83.59622	7.320016
357	1	-14051.45	-14518.43	466.9746	87.28525	6.911258
358	0	-14070.47	-14515.51	445.044	87.11707	7.16302
359	1	-14071.28	-14506.88	435.5972	80.65656	7.278572
360	0	-14076.41	-14528.43	452.0243	83.91136	7.084555
361	1	-14036.15	-14509.63	473.4801	88.22795	6.836907
362	0	-14034.1	-14512.59	478.4937	89.26976	6.78002
363	1	-14034.45	-14499.63	465.1741	90.11268	6.927097
364	0	-14065.43	-14513.69	448.2599	82.53773	7.127612
365	1	-14037.69	-14504.27	466.5756	90.26168	6.911135
366	0	-14051.96	-14519.47	467.5112	84.95144	6.902827
367	1	-14081.16	-14543	461.8447	86.54995	6.97044
368	0	-14062.53	-14517.47	454.945	84.91659	7.050734
369	1	-14056.27	-14530.46	474.1896	84.74351	6.823547
370	0	-14080.18	-14538.62	458.4441	85.60919	7.009936
371	1	-14054.56	-14527	472.4434	96.39392	6.819966
372	0	-14080.38	-14530.4	450.0155	87.83159	7.104086
373	1	-14052.9	-14514.59	461.6944	81.29641	6.958863
374	0	-14087.18	-14522.25	435.07	86.10529	7.281393
375	1	-14049.11	-14509.05	459.9419	89.27236	6.987831
376	0	-14125.57	-14573.55	447.9866	85.28189	7.132426
377	1	-14078.33	-14558.07	479.7438	84.66561	6.757684
378	0	-14082.87	-14522.69	439.8183	86.5863	7.224818
379	1	-14046.11	-14535.21	489.1019	84.93899	6.648609
380	0	-14069.44	-14513.89	444.4481	82.70977	7.174039
381	1	-14076.93	-14557.28	480.3492	83.00232	6.74185
382	0	-14061.16	-14526.75	465.5924	97.58144	6.882414
383	1	-14068.5	-14520.53	452.0274	84.05607	7.084666
384	0	-14086.36	-14533.65	447.2893	82.65509	7.139591
385	1	-14068.67	-14535.06	466.3861	90.32133	6.913064
386	0	-14087.03	-14517.01	429.9811	85.86529	7.341449
387	1	-14063.7	-14528.33	464.6311	91.42943	6.928605
388	0	-14101.85	-14527.97	426.1183	81.20124	7.396446
389	1	-14034.52	-14508.48	473.9552	90.89023	6.828026
390	0	-14052.69	-14501.24	448.5458	88.19073	7.119647
391	1	-14051.6	-14531.88	480.2791	88.70015	6.760045
392	0	-14038.13	-14495.95	457.8197	79.40301	6.994658
393	1	-14056.04	-14526.78	470.7403	88.61724	6.867665
394	0	-14071.53	-14541.72	470.1958	85.985	6.873284
395	1	-14030.3	-14517.02	486.7188	91.56433	6.686844
396	0	-14122.1	-14543.38	421.2764	82.15022	7.455182
397	1	-14052.2	-14545.59	493.3864	91.80544	6.613861
398	0	-14055.86	-14500.47	444.6067	89.28474	7.159551
399	1	-14045.39	-14522.22	476.8256	90.21709	6.797643
400	0	-14069.53	-14528.75	459.2254	91.016	6.989556
401	1	-14014.16	-14513.92	499.7518	94.9496	6.54072
402	0	-14076.3	-14528.2	451.8959	90.00179	7.074942
403	1	-14043.58	-14527.67	484.0914	91.64149	6.715406
404	0	-14058.1	-14531.72	473.6279	83.72019	6.826281
405	1	-14030.84	-14540.7	509.8663	93.01115	6.435185
406	0	-14111.61	-14538.26	426.6514	82.84187	7.389033
407	1	-14069.82	-14533.04	463.2204	88.44322	6.952839
408	0	-14105.48	-14531.65	426.1709	83.14511	7.394336
409	1	-14051.31	-14517.31	465.9992	88.6749	6.921076
410	0	-14083.32	-14538.98	455.6546	85.02669	7.042433
411	1	-14066.39	-14533.37	466.9767	90.81375	6.905051
412	0	-14103.68	-14534.29	430.611	81.79726	7.341513
413	1	-14021.16	-14512.9	491.7454	90.25268	6.632278
414	0	-14076.89	-14514.1	437.2044	81.3944	7.260286
415	1	-14063.34	-14535.46	472.1216	89.8236	6.850545
416	0	-14061.59	-14515.13	453.5432	85.30908	7.067267
417	1	-14040.87	-14521.76	480.8856	90.61585	6.752172
418	0	-14070.16	-14526.22	456.0554	82.65666	7.03354
419	1	-14068.43	-14539.08	470.6493	84.01763	6.862987
420	0	-14096.31	-14527.42	431.1058	78.21754	7.326191
421	1	-14050.24	-14524.55	474.31	91.33125	6.82301
422	0	-14072.79	-14514.28	441.4984	84.27147	7.209787
423	1	-14050.06	-14510.44	460.3717	83.94242	6.985147
424	0	-14095.84	-14535.62	439.7822	78.92712	7.219426
425	1	-14041.73	-14499.95	458.215	83.71479	7.010368
426	0	-14079.44	-14511.68	432.2378	84.48872	7.319204
427	1	-14058.31	-14515.48	457.1649	86.94648	7.024105
428	0	-14057.03	-14497.88	440.8525	88.07433	7.207389
429	1	-14050.51	-14513.44	462.9297	77.4171	6.910691
430	0	-14031.28	-14493.7	462.4216	86.44134	6.963784
431	1	-14063.78	-14548.11	484.3279	92.95858	6.709902
432	0	-14107.79	-14530.8	423.0069	78.88269	7.431847
433	1	-14069.62	-14514.54	444.9181	81.21534	7.164971
434	0	-14080.01	-14539.16	459.1539	83.13539	6.997614
435	1	-14049.52	-14503.46	453.9327	85.20737	7.062704
436	0	-14080.3	-14537.73	457.4352	80.01125	7.003806
437	1	-14077.32	-14516.53	439.2131	78.69029	7.225348
438	0	-14082.29	-14542.4	460.108	87.79699	6.989234
