Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1440	-6148.264	-6176.904	28.64042	1.353885	28.73301	0.201843	0.562279	1.04055	2.19533	7.29637
1450	-6182.802	-6202.262	19.45948	1.313143	27.53104	0.194961	0.55418	1.03726	2.21359	7.617205
1460	-6160.075	-6182.554	22.47845	1.386041	28.06404	0.207169	0.568419	1.04296	2.18145	7.510798
1470	-6163.494	-6190.398	26.90378	1.85149	26.81966	0.274879	0.638231	1.06579	2.0211	7.333217
1480	-6135.997	-6175.83	39.83272	1.250264	31.6913	0.184044	0.540919	1.03164	2.2434	6.920629
1490	-6134.662	-6180.489	45.82655	1.042774	29.59779	0.145409	0.489241	1.00674	2.35861	6.716096
1500	-6130.356	-6176.208	45.85213	1.074398	32.27033	0.151555	0.498026	1.01131	2.33911	6.729208
1510	-6166.253	-6188.782	22.5286	1.78135	30.83459	0.2657	0.629548	1.06341	2.04134	7.485019
1520	-6128.202	-6183.017	54.81484	1.011939	32.86003	0.13933	0.480311	1.00195	2.37841	6.452791
1530	-6119.631	-6174.912	55.28056	1.253779	32.14612	0.184664	0.541686	1.03197	2.24168	6.43641
1540	-6134.712	-6192.825	58.11274	0.9710083	33.46128	0.131134	0.467861	0.995025	2.40598	6.353363
1550	-6138.05	-6186.931	48.88125	1.344675	34.56628	0.2003	0.560481	1.03983	2.19939	6.616778
1560	-6134.195	-6178.673	44.47796	1.191341	33.01323	0.17348	0.527572	1.02566	2.27329	6.765888
1570	-6177.453	-6197.474	20.02083	1.694069	29.05251	0.253806	0.617966	1.06004	2.06819	7.593978
1580	-6177.624	-6185.817	8.193106	1.632558	22.95608	0.245093	0.60923	1.05734	2.08833	7.932182
1590	-6161.828	-6190.894	29.06635	1.229174	27.73103	0.1803	0.536249	1.02958	2.25387	7.271559
1600	-6169.094	-6198.526	29.43223	1.540398	26.62104	0.231496	0.595145	1.05271	2.12065	7.233292
1610	-6176.185	-6195.135	18.94982	1.160751	27.02252	0.167868	0.520257	1.02225	2.28962	7.632079
1620	-6152.794	-6174.704	21.90959	1.57486	26.58233	0.236658	0.60056	1.05453	2.10825	7.515122
1630	-6174.721	-6192.686	17.96498	1.441331	27.32841	0.216115	0.57849	1.04678	2.15861	7.670655
1640	-6158.022	-6180.164	22.14174	1.440497	28.74868	0.215982	0.578343	1.04673	2.15895	7.522489
1650	-6172.844	-6189.004	16.16038	1.456074	26.01035	0.218456	0.581078	1.04773	2.15273	7.722669
1660	-6143.076	-6175.478	32.40214	1.324919	28.60099	0.196966	0.556559	1.03824	2.20823	7.164185
1670	-6157.312	-6181.725	24.4129	1.803613	30.93042	0.268649	0.632361	1.0642	2.03479	7.422259
1680	-6140.012	-6180.429	40.41725	1.396736	30.73714	0.208921	0.570414	1.04373	2.17693	6.904842
1690	-6131.218	-6172.537	41.31896	0.9844357	31.45888	0.133838	0.472023	0.997372	2.39677	6.874751
1700	-6156.747	-6168.613	11.86621	1.516993	29.96073	0.227936	0.591361	1.0514	2.1293	7.854899
1710	-6199.244	-6211.469	12.22495	1.043549	25.78331	0.14556	0.489461	1.00686	2.35812	7.870602
1720	-6181.07	-6182.318	1.247837	1.34954	25.96217	0.201116	0.561433	1.04021	2.19724	8.296128
1730	-6173.076	-6182.869	9.792959	2.478349	29.81143	0.344394	0.697832	1.07838	1.8794	7.928085
1740	-6164.584	-6168.377	3.793512	1.253823	25.68485	0.184671	0.541696	1.03198	2.24166	8.197182
1750	-6171.636	-6181.506	9.869912	1.590427	26.74786	0.23896	0.602947	1.05532	2.10277	7.968321
1760	-6148.78	-6173.637	24.85749	1.070586	30.55928	0.150819	0.496986	1.01078	2.34142	7.413771
1770	-6163.329	-6189.831	26.5028	1.186554	30.43857	0.172608	0.526445	1.02514	2.2758	7.361436
1780	-6144.193	-6178.63	34.4371	1.413031	30.15736	0.211569	0.57341	1.04488	2.17014	7.101446
1790	-6145.089	-6180.336	35.24709	1.700228	34.61455	0.254663	0.618813	1.0603	2.06623	7.009986
1800	-6139.141	-6177.734	38.59324	1.212068	28.98317	0.177233	0.532375	1.02785	2.26254	6.953769
1810	-6132.006	-6172.81	40.80397	1.318901	31.19534	0.195943	0.555347	1.03774	2.21097	6.891968
1820	-6171.773	-6193.096	21.32243	1.237849	26.89542	0.181845	0.538184	1.03044	2.24953	7.542486
1830	-6164.165	-6172.347	8.182073	1.589288	26.98731	0.238792	0.602774	1.05526	2.10317	8.03071
1840	-6161.32	-6189.41	28.08994	1.283632	30.62558	0.189883	0.548076	1.03471	2.22733	7.307239
1850	-6172.99	-6193.25	20.25933	1.45834	27.85033	0.218815	0.581472	1.04788	2.15183	7.589537
1860	-6150.291	-6172.283	21.99242	1.488121	31.75411	0.223482	0.586567	1.04972	2.14023	7.482027
1870	-6136.915	-6168.085	31.17081	1.336305	29.22263	0.198892	0.55883	1.03916	2.20311	7.210807
1880	-6157.986	-6186.478	28.49178	1.683677	28.47173	0.252354	0.616525	1.05961	2.07152	7.300119
1890	-6145.877	-6182.556	36.67842	1.741878	27.07389	0.260388	0.624422	1.06195	2.05324	6.977759
1900	-6162.339	-6204.206	41.86711	1.300735	31.09598	0.192836	0.551638	1.03621	2.21932	6.857973
1910	-6143.414	-6182.604	39.18928	1.275801	30.16413	0.188522	0.546421	1.03401	2.23105	6.943893
1920	-6147.056	-6169.425	22.36847	1.735873	28.58251	0.25957	0.623627	1.06172	2.05508	7.515037
1930	-6142.824	-6178.44	35.61646	0.9590985	30.86016	0.128722	0.464103	0.992878	2.4143	7.060432
1940	-6123.504	-6182.66	59.15587	0.680293	33.68859	0.0699848	0.354082	0.917341	2.65859	6.322193
1950	-6130.167	-6177.563	47.3955	1.390434	32.70038	0.20789	0.569241	1.04328	2.17959	6.679543
1960	-6134.386	-6174.78	40.39407	1.381269	31.37964	0.206385	0.567522	1.04262	2.18348	6.904489
1970	-6153.752	-6178.513	24.76028	1.252812	30.35733	0.184493	0.541475	1.03188	2.24215	7.419791
1980	-6167.209	-6175.939	8.729995	1.513176	27.94882	0.227351	0.590735	1.05119	2.13073	8.002264
1990	-6162.466	-6178.861	16.39509	1.261241	26.16112	0.185976	0.543304	1.03267	2.23805	7.716422
2000	-6150.694	-6172.59	21.89592	1.022508	27.4035	0.141423	0.483414	1.00363	2.37153	7.52757
2010	-6170.633	-6185.738	15.10426	1.718973	24.94621	0.257255	0.621364	1.06106	2.06033	7.736248
2020	-6171.688	-6204.878	33.19058	1.25291	29.52584	0.184511	0.541497	1.03189	2.2421	7.14286
2030	-6131.326	-6168.7	37.37406	1.358784	31.97452	0.20266	0.563229	1.04093	2.19318	6.99539
2040	-6137.665	-6186.129	48.4638	1.047387	30.9663	0.146311	0.490546	1.00743	2.35571	6.644947
2050	-6132.018	-6178.061	46.04317	1.016846	31.06008	0.140303	0.481757	1.00274	2.3752	6.723534
2060	-6135.352	-6182.99	47.63787	1.391724	32.39064	0.208101	0.569482	1.04338	2.17904	6.673499
2070	-6135.197	-6190.612	55.41546	1.01071	29.75165	0.139086	0.479948	1.00175	2.37921	6.396197
2080	-6163.308	-6203.762	40.45393	1.064578	29.94084	0.149656	0.495337	1.00993	2.34508	6.900585
2090	-6146.817	-6185.91	39.0929	1.207327	32.23599	0.176378	0.531287	1.02736	2.26498	6.939036
2100	-6162.097	-6182.883	20.78636	1.43938	28.64143	0.215804	0.578145	1.04665	2.1594	7.57015
2110	-6165.186	-6182.465	17.27841	1.53283	28.73459	0.23035	0.593931	1.05229	2.12343	7.691789
2120	-6166.219	-6185.284	19.06439	0.9881004	27.36332	0.134573	0.473146	0.998	2.39428	7.630652
2130	-6160.918	-6182.889	21.9709	1.592836	24.81553	0.239314	0.603313	1.05544	2.10193	7.454982
2140	-6141.703	-6179.594	37.89124	1.213343	31.29855	0.177463	0.532666	1.02798	2.26189	6.984757
2150	-6160.104	-6182.741	22.63761	1.336296	31.12296	0.19889	0.558828	1.03916	2.20312	7.475813
2160	-6181.925	-6186.394	4.469038	1.621124	26.81833	0.243442	0.60755	1.05681	2.0922	8.16973
2170	-6162.259	-6182.89	20.63106	1.541443	26.53444	0.231654	0.595312	1.05277	2.12027	7.562348
2180	-6146.857	-6165.172	18.31512	1.462248	32.73436	0.219431	0.582149	1.04813	2.15029	7.567725
2190	-6164.918	-6172.894	7.975698	1.492648	26.17181	0.224185	0.587328	1.04999	2.1385	8.038304
2200	-6166.214	-6184.18	17.96565	1.25955	29.75328	0.185679	0.542939	1.03251	2.23887	7.654917
2210	-6162.824	-6189.857	27.03287	1.199704	28.07294	0.174999	0.529524	1.02656	2.26892	7.348592
2220	-6158.344	-6176.265	17.92103	1.625577	26.37359	0.244086	0.608206	1.05702	2.09069	7.661955
2230	-6192.625	-6204.083	11.4578	1.749349	27.64066	0.261402	0.625406	1.06224	2.05096	7.907177
2240	-6198.5	-6210.288	11.78773	1.32989	26.86345	0.197808	0.557554	1.03865	2.20599	7.896936
2250	-6176.562	-6185.237	8.675437	1.759248	26.65874	0.262739	0.6267	1.06261	2.04795	8.013017
2260	-6176.429	-6192.248	15.81931	1.561826	27.90783	0.234717	0.598534	1.05386	2.11289	7.748768
2270	-6161.145	-6183.679	22.53347	1.481285	28.25928	0.222417	0.585411	1.0493	2.14287	7.509305
2280	-6169.867	-6191.824	21.95754	1.356705	25.04293	0.202314	0.562827	1.04077	2.19409	7.465776
2290	-6154.585	-6165.243	10.658	1.375098	26.29984	0.205367	0.566354	1.04216	2.18612	7.936846
2300	-6148.678	-6167.65	18.9719	1.175187	30.2157	0.170528	0.523743	1.02389	2.28184	7.613183
2310	-6160.084	-6178.099	18.01499	1.41715	23.59379	0.212236	0.574159	1.04516	2.16844	7.550424
2320	-6159.385	-6182.822	23.43747	1.596852	26.44578	0.239904	0.603922	1.05564	2.10054	7.454536
2330	-6153.832	-6181.108	27.27628	1.293913	29.32341	0.191661	0.550226	1.03562	2.22249	7.343863
2340	-6140.619	-6178.66	38.04113	1.01005	28.00328	0.138955	0.479752	1.00165	2.37965	6.954833
2350	-6151.35	-6181.651	30.30114	1.227307	31.20147	0.179967	0.53583	1.0294	2.25481	7.228567
2360	-6144.73	-6187.174	42.44443	1.106107	29.99196	0.157626	0.506476	1.01557	2.32032	6.834571
2370	-6161.462	-6179.71	18.24866	1.528383	27.15511	0.229674	0.593214	1.05205	2.12507	7.659133
2380	-6133.714	-6178.501	44.78763	1.38618	32.12074	0.207192	0.568445	1.04297	2.18139	6.76294
