Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
189	1	-6166.566	-6181.862	15.2957	1.510169	26.75351	0.226889	0.59024	1.05101	2.13186	7.765518
190	0	-6158.444	-6179.29	20.84652	1.640932	29.05494	0.246296	0.610449	1.05773	2.08553	7.565538
191	1	-6173.797	-6189.799	16.00249	1.173214	26.99205	0.170165	0.523271	1.02367	2.28289	7.74096
192	0	-6143.873	-6196.47	52.59791	1.079861	32.34743	0.152607	0.499507	1.01207	2.33582	6.520306
193	1	-6184.339	-6188.044	3.704614	1.594191	25.32309	0.239513	0.603519	1.05551	2.10146	8.19798
194	0	-6138.409	-6189.164	50.75492	1.293348	31.28256	0.191563	0.550108	1.03557	2.22276	6.573642
195	1	-6188.926	-6198.32	9.39403	1.584984	26.29645	0.238157	0.602117	1.05505	2.10468	7.984888
196	0	-6157.937	-6207.193	49.25603	0.6361878	29.73907	0.0606473	0.3318	0.898715	2.70884	6.602989
197	1	-6142.217	-6171.002	28.78538	1.073027	31.74778	0.15129	0.497653	1.01112	2.33994	7.268217
198	0	-6146.104	-6180.407	34.30323	1.531213	30.44381	0.230104	0.593671	1.0522	2.12402	7.105149
199	1	-6158.076	-6197.314	39.23768	1.337522	32.45843	0.199097	0.559071	1.03926	2.20257	6.932048
200	0	-6167.126	-6183.463	16.33665	1.286885	27.06741	0.190446	0.548759	1.035	2.22579	7.729063
201	1	-6132.339	-6168.915	36.57623	1.215022	31.04733	0.177765	0.533049	1.02815	2.26103	7.028401
202	0	-6192.611	-6190.821	-1.789822	1.980011	25.43747	0.290877	0.652871	1.06948	1.98677	8.415016
203	1	-6152.738	-6185.975	33.23737	1.358751	31.63731	0.202655	0.563222	1.04092	2.1932	7.129445
204	0	-6182.765	-6195.664	12.89842	1.489495	26.08433	0.223695	0.586798	1.0498	2.13971	7.8491
205	1	-6144.346	-6175.799	31.45332	1.547121	31.53679	0.232511	0.596216	1.05307	2.1182	7.187279
206	0	-6191.859	-6191.177	-0.6824908	1.443686	23.32475	0.216491	0.578906	1.04694	2.15767	8.333758
207	1	-6143.308	-6176.404	33.09597	1.217632	27.44515	0.178234	0.533643	1.02842	2.2597	7.119873
208	0	-6160.587	-6187.385	26.79847	1.403651	29.49184	0.210048	0.571692	1.04422	2.17404	7.359511
209	1	-6185.91	-6202.581	16.67101	1.823776	27.49011	0.271291	0.634863	1.06488	2.02896	7.718427
210	0	-6193.44	-6198.68	5.239601	1.477568	29.81328	0.221836	0.584779	1.04908	2.14431	8.080766
211	1	-6179.064	-6190.982	11.91857	1.513922	25.16892	0.227465	0.590857	1.05123	2.13045	7.869932
212	0	-6195.387	-6196.406	1.018837	1.215569	26.20529	0.177863	0.533174	1.02821	2.26075	8.303938
213	1	-6185.809	-6204.94	19.13151	1.139964	28.27594	0.164005	0.515126	1.01981	2.30106	7.62964
214	0	-6188.003	-6201.36	13.35744	1.494225	27.17955	0.224429	0.587592	1.05008	2.1379	7.839274
215	1	-6169.329	-6187.943	18.61429	1.543681	28.42461	0.231992	0.595669	1.05289	2.11945	7.647288
216	0	-6198.733	-6191.438	-7.295082	1.518024	24.30477	0.228093	0.591529	1.05146	2.12891	8.632582
217	1	-6160.862	-6190.294	29.43175	1.384242	30.35144	0.206874	0.568082	1.04283	2.18221	7.265958
218	0	-6164.073	-6174.699	10.62613	1.435161	28.21392	0.21513	0.577396	1.04638	2.1611	7.931268
219	1	-6153.268	-6185.484	32.21575	1.205159	27.3039	0.175987	0.530787	1.02713	2.2661	7.148592
220	0	-6174.005	-6183.134	9.129507	1.582889	29.47241	0.237848	0.601796	1.05494	2.10542	7.959106
221	1	-6159.224	-6189.027	29.80375	1.3631	31.64233	0.203379	0.564061	1.04126	2.1913	7.237894
222	0	-6196.298	-6203.404	7.105725	1.554804	24.62626	0.233666	0.597431	1.05348	2.11542	8.04936
223	1	-6138.741	-6174.756	36.01537	1.278088	33.35084	0.18892	0.546906	1.03422	2.22996	7.015928
224	0	-6191.719	-6199.629	7.909707	1.609896	25.76711	0.241811	0.605882	1.05627	2.09603	8.037805
225	1	-6143.284	-6180.181	36.89742	1.507206	29.9377	0.226434	0.589751	1.05084	2.13297	7.01936
226	0	-6187.418	-6205.219	17.80146	1.467327	31.8845	0.220231	0.583026	1.04844	2.1483	7.610199
227	1	-6175.11	-6215.733	40.62335	1.250025	31.68859	0.184001	0.540867	1.03161	2.24352	6.895697
228	0	-6172.693	-6200.349	27.65618	1.532102	32.08832	0.230239	0.593814	1.05225	2.12369	7.296967
229	1	-6195.348	-6206.651	11.30243	1.212896	30.72282	0.177382	0.532564	1.02793	2.26212	7.852493
230	0	-6151.991	-6181.494	29.50298	1.511111	30.00965	0.227034	0.590395	1.05107	2.1315	7.265971
231	1	-6181.269	-6194.749	13.47913	1.249988	28.47348	0.183995	0.540859	1.03161	2.24354	7.827381
232	0	-6157.77	-6193.53	35.75989	1.021651	32.25464	0.141253	0.483164	1.0035	2.37209	7.042169
233	1	-6185.396	-6195.914	10.51819	1.334596	25.85561	0.198604	0.558491	1.03903	2.20388	7.937763
234	0	-6179.314	-6195.973	16.65815	1.129409	25.85681	0.162028	0.512469	1.01852	2.30698	7.700319
235	1	-6171.754	-6183.039	11.28511	1.515018	25.56032	0.227633	0.591037	1.05129	2.13004	7.903356
236	0	-6184.717	-6187.565	2.847919	1.69922	26.8924	0.254523	0.618675	1.06026	2.06655	8.22942
237	1	-6170.607	-6179.755	9.148146	1.491984	24.88486	0.224082	0.587217	1.04995	2.13875	7.973491
238	0	-6192.495	-6190.045	-2.449751	1.229391	26.04715	0.180339	0.536298	1.0296	2.25376	8.437842
239	1	-6140.535	-6169.979	29.44466	1.258048	28.62966	0.185415	0.542614	1.03237	2.2396	7.267776
240	0	-6165.846	-6189.686	23.83975	1.150491	34.87819	0.165966	0.517741	1.02106	2.29523	7.330192
