Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
208	0	-986.9304	-1030.041	43.1107	79094.54	34.7659	0.995484	0.998842	1.00115	1.00452	3.152432
209	1	-989.8744	-1031.026	41.15205	87534.08	24.74834	0.995707	0.998899	1.00109	1.0043	3.256423
210	0	-984.5711	-1032.298	47.72639	9077.003	25.20923	0.98669	0.996561	1.00338	1.01337	3.003438
211	1	-975.2562	-1018.285	43.02911	86396.58	29.11763	0.995679	0.998892	1.0011	1.00433	3.214923
212	0	-994.315	-1036.439	42.12426	18581.57	27.73526	0.990691	0.997603	1.00237	1.00934	3.247644
213	1	-975.2806	-1036.417	61.13647	32813.51	34.3858	0.992992	0.998199	1.00178	1.00703	2.634257
214	0	-995.6759	-1030.524	34.84791	81016.78	26.4806	0.995538	0.998856	1.00114	1.00447	3.516204
215	1	-984.5479	-1032.252	47.70379	70917.01	34.49612	0.995231	0.998777	1.00122	1.00478	3.023596
216	0	-1014.051	-1035.261	21.20985	25541.34	21.38791	0.992058	0.997957	1.00202	1.00796	4.070051
217	1	-988.7556	-1036.931	48.17551	64841.55	30.68869	0.995013	0.998721	1.00127	1.005	3.038504
218	0	-993.9742	-1036.682	42.70781	92638.55	30.77501	0.995827	0.99893	1.00106	1.00418	3.21594
219	1	-986.4301	-1042.494	56.06428	20495.69	31.21384	0.991135	0.997718	1.00225	1.00889	2.784013
220	0	-1011.097	-1041.585	30.48885	39921.77	27.26974	0.993645	0.998368	1.00162	1.00637	3.672967
221	1	-990.0233	-1033.82	43.79681	30426.71	34.52004	0.992722	0.998129	1.00185	1.0073	3.136491
222	0	-984.1589	-1024.143	39.98432	36774.88	25.17663	0.993379	0.998299	1.00169	1.00664	3.310111
223	1	-994.2743	-1034.745	40.47112	11791.62	27.39338	0.988319	0.996986	1.00297	1.01173	3.3071
224	0	-991.0232	-1026.222	35.19901	70319.47	26.62868	0.995211	0.998772	1.00122	1.0048	3.502667
225	1	-992.5941	-1038.617	46.02261	36186.05	29.8379	0.993326	0.998285	1.0017	1.00669	3.111601
226	0	-997.0973	-1024.201	27.10403	22938.53	20.32511	0.99162	0.997844	1.00213	1.00841	3.760093
227	1	-995.6036	-1028.236	32.63278	38577.1	21.20554	0.993536	0.99834	1.00165	1.00648	3.528927
228	0	-1019.799	-1049.172	29.37259	43944.76	20.33298	0.993943	0.998445	1.00154	1.00607	3.648836
229	1	-983.045	-1027.475	44.43016	3663.327	31.79905	0.979078	0.994558	1.00529	1.02108	3.151622
230	0	-1003.693	-1035.404	31.71094	45673.39	28.34122	0.994059	0.998475	1.00151	1.00595	3.615328
231	1	-1010.007	-1036.347	26.33983	14371.88	29.13486	0.989417	0.997272	1.00269	1.01062	3.787701
232	0	-997.3194	-1035.647	38.32728	31047.61	30.12081	0.992795	0.998148	1.00183	1.00722	3.366369
233	1	-999.3092	-1032.027	32.71808	79238.3	28.38739	0.995488	0.998843	1.00115	1.00452	3.579206
234	0	-979.3938	-1020.622	41.22853	54266.44	30.9926	0.994549	0.998601	1.00139	1.00546	3.261739
235	1	-997.6263	-1040.046	42.42012	54142.16	27.29713	0.994543	0.998599	1.00139	1.00547	3.235559
236	0	-973.6788	-1018.717	45.03823	92773.75	26.1672	0.99583	0.998931	1.00106	1.00418	3.127148
237	1	-992.1183	-1022.048	29.92939	81942.49	26.86757	0.995563	0.998862	1.00113	1.00444	3.698122
238	0	-995.3878	-1029.7	34.3127	97739.23	30.7577	0.995937	0.998959	1.00104	1.00407	3.489032
239	1	-980.7003	-1018.845	38.14508	27066.46	25.7332	0.992284	0.998016	1.00196	1.00774	3.388088
240	0	-994.2635	-1027.26	32.9967	96723.49	27.79299	0.995916	0.998953	1.00104	1.00409	3.576152
241	1	-1004.804	-1040.729	35.9258	75545.16	25.8315	0.995379	0.998815	1.00118	1.00463	3.474665
