Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
2160	-981.4017	-1031.332	49.93059	92307.99	27.68657	0.995819	0.998928	1.00107	1.00419	2.965597
2170	-972.8286	-1028.255	55.42643	90370.35	31.79299	0.995775	0.998917	1.00108	1.00423	2.805808
2180	-984.7865	-1032.451	47.66482	63726.34	35.17198	0.994969	0.998709	1.00128	1.00504	3.016271
2190	-1016.978	-1044.503	27.52555	52704.9	24.54196	0.994469	0.99858	1.00141	1.00554	3.807624
2200	-1016.921	-1042.685	25.76397	47992.75	25.09676	0.994204	0.998512	1.00148	1.00581	3.875622
2210	-1001.872	-1030.392	28.52055	26651.78	26.80307	0.992225	0.998001	1.00198	1.0078	3.751367
2220	-993.8687	-1033.55	39.68126	86510.95	28.6823	0.995682	0.998893	1.0011	1.00432	3.332532
2230	-997.8122	-1031.088	33.276	80206.42	19.43397	0.995515	0.99885	1.00114	1.00449	3.400315
2240	-986.5807	-1023.083	36.50188	24517.26	22.82822	0.991894	0.997915	1.00206	1.00813	3.407688
2250	-1007.329	-1033.117	25.78798	8273.985	26.81258	0.986061	0.996396	1.00353	1.01401	3.853163
2260	-994.4845	-1036.056	41.57158	50823.86	29.06325	0.994367	0.998554	1.00143	1.00564	3.265224
2270	-1016.062	-1040.904	24.84206	67135.27	19.7428	0.995099	0.998743	1.00125	1.00491	3.848649
2280	-999.7386	-1026.488	26.74955	89158.06	24.56723	0.995746	0.998909	1.00108	1.00426	3.839152
2290	-985.9003	-1031.973	46.07273	13770.53	29.99648	0.989189	0.997213	1.00275	1.01085	3.109563
2300	-979.9007	-1025.075	45.17393	73394.72	31.27733	0.995312	0.998798	1.00119	1.0047	3.132444
2310	-999.5996	-1036.321	36.72181	78462.31	30.64401	0.995466	0.998837	1.00116	1.00454	3.41238
2320	-996.3571	-1035.413	39.05625	8957.93	23.67099	0.986602	0.996538	1.0034	1.01346	3.319888
2330	-974.8625	-1019.624	44.7616	19912.49	22.16893	0.991007	0.997685	1.00229	1.00902	3.01417
2340	-976.8394	-1024.7	47.86029	65006.26	26.76418	0.995019	0.998722	1.00127	1.00499	3.029248
2350	-986.9023	-1028.846	41.94413	40467.82	30.90994	0.993688	0.998379	1.00161	1.00633	3.239464
2360	-992.2995	-1032.006	39.70689	20498.55	26.43793	0.991136	0.997718	1.00225	1.00889	3.332497
2370	-1007.227	-1051.247	44.02041	90802.9	29.53126	0.995785	0.998919	1.00107	1.00422	3.179856
2380	-991.6061	-1035.106	43.4998	6702.242	25.81718	0.984516	0.995992	1.00392	1.01557	3.181249
2390	-975.0191	-1030.222	55.20286	88797.26	31.18463	0.995738	0.998907	1.00109	1.00427	2.811519
2400	-976.2894	-1030.018	53.72866	74003.01	33.58334	0.995331	0.998803	1.00119	1.00468	2.854356
2410	-982.7026	-1033.504	50.8013	9228.718	31.66191	0.9868	0.99659	1.00335	1.01326	2.951674
2420	-963.0362	-1017.407	54.37104	39820.53	36.93779	0.993637	0.998366	1.00162	1.00638	2.8096
2430	-959.3447	-1021.137	61.79216	36422.3	41.67535	0.993348	0.998291	1.00169	1.00667	2.570278
2440	-979.6876	-1027.972	48.28458	69768.17	31.20809	0.995192	0.998767	1.00123	1.00482	3.033275
