Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
256	0	-6284.246	-6297.545	13.29936	27.27372	8.263544
257	1	-6338.776	-6345.41	6.633621	25.01313	8.537394
258	0	-6297.798	-6313.369	15.57071	25.6424	8.18665
259	1	-6295.092	-6321.141	26.04884	25.26153	7.768578
260	0	-6285.853	-6305.619	19.76631	25.46054	8.020545
261	1	-6315.292	-6335.582	20.29065	26.06972	8.006969
262	0	-6305.108	-6330.054	24.94665	28.19351	7.83195
263	1	-6266.462	-6299.973	33.51072	28.63207	7.52788
264	0	-6285.644	-6301.739	16.09487	25.64187	8.166206
265	1	-6290.35	-6320.633	30.28305	28.11728	7.642847
266	0	-6281.931	-6309.293	27.36154	26.65807	7.743936
267	1	-6314.183	-6341.359	27.17611	29.76292	7.732117
268	0	-6294.221	-6306.618	12.39696	23.00287	8.252772
269	1	-6301.137	-6330.502	29.36532	27.26895	7.674452
270	0	-6292.604	-6323.475	30.87154	29.01664	7.617111
271	1	-6300.399	-6326.961	26.56236	28.01315	7.775814
272	0	-6293.834	-6315.303	21.4693	25.4137	7.952818
273	1	-6291.739	-6313.195	21.45588	28.49542	7.951216
274	0	-6270.296	-6295.819	25.52273	27.97478	7.813186
275	1	-6293.819	-6314.34	20.52077	26.03669	7.997878
276	0	-6288.649	-6298.17	9.521111	32.14675	8.218004
277	1	-6316.097	-6323.644	7.547361	25.16552	8.501033
278	0	-6279.34	-6296.695	17.35532	28.30514	8.099044
279	1	-6327.348	-6332.213	4.864521	27.98503	8.551306
280	0	-6276.696	-6311.466	34.77005	29.61403	7.47848
281	1	-6296.754	-6326.961	30.20765	27.02692	7.641562
282	0	-6293.755	-6316.035	22.27963	30.03903	7.889534
283	1	-6301.693	-6323.928	22.23573	23.84441	7.871833
284	0	-6281.947	-6314.232	32.28487	28.3004	7.571599
285	1	-6310.264	-6324.972	14.70765	27.81107	8.203015
286	0	-6291.975	-6314.759	22.7833	26.13006	7.911999
287	1	-6302.629	-6331.892	29.26258	33.92362	7.54246
288	0	-6273.663	-6316.058	42.39546	31.32787	7.208299
289	1	-6284.333	-6314.376	30.04297	28.53782	7.649613
290	0	-6288.299	-6308.044	19.74533	26.94337	8.02902
291	1	-6281.257	-6314.785	33.52726	27.32452	7.522439
292	0	-6283.915	-6323.691	39.77642	30.05667	7.306937
293	1	-6295.564	-6323.623	28.05936	28.91999	7.71521
294	0	-6301.198	-6324.896	23.69786	30.11299	7.840452
295	1	-6275.382	-6299.789	24.40683	31.26791	7.784394
296	0	-6293.584	-6311.171	17.58629	25.01192	8.099496
297	1	-6310.817	-6331.075	20.25775	27.99399	8.001133
298	0	-6285.652	-6312.956	27.30403	25.90121	7.734758
299	1	-6291.794	-6315.955	24.16111	23.78242	7.787943
300	0	-6285.154	-6299.413	14.25953	28.32209	8.208013
301	1	-6302.988	-6327.75	24.76176	31.29085	7.77233
302	0	-6299.352	-6328.465	29.1131	25.98786	7.666833
303	1	-6273.596	-6298.299	24.70283	24.7525	7.806726
304	0	-6285.942	-6312.228	26.28587	29.82332	7.76079
305	1	-6286.14	-6306.388	20.24724	27.33373	8.008385
306	0	-6279.202	-6309.373	30.17086	25.76405	7.620595
307	1	-6277.186	-6306.217	29.03027	28.07665	7.687537
308	0	-6271.798	-6305.414	33.61628	26.04456	7.49513
309	1	-6288.322	-6318.801	30.47888	28.12381	7.635871
310	0	-6282.957	-6297.738	14.7807	26.94865	8.213226
311	1	-6282.826	-6307.581	24.7555	27.53788	7.842997
312	0	-6286.412	-6296.348	9.935535	21.96318	8.303793
313	1	-6311.837	-6325.941	14.10377	26.41263	8.24301
314	0	-6306.734	-6316.794	10.06024	25.68653	8.40143
315	1	-6274.485	-6304.801	30.31584	29.0915	7.635493
316	0	-6292.796	-6306.558	13.76186	25.45732	8.256361
317	1	-6279.463	-6303.979	24.51619	26.92921	7.851909
318	0	-6281.325	-6304.631	23.30688	25.88488	7.888848
319	1	-6288.135	-6309.697	21.56157	30.25936	7.907252
320	0	-6291.274	-6312.221	20.94785	27.59126	7.98081
321	1	-6316.024	-6325.998	9.973795	21.777	8.289127
322	0	-6297.976	-6321.678	23.70253	27.84518	7.87933
323	1	-6271.881	-6297.441	25.55989	29.01922	7.800125
324	0	-6279.89	-6313.135	33.24509	30.52111	7.516724
325	1	-6284.505	-6318.878	34.37218	27.80002	7.495868
326	0	-6310.876	-6329.87	18.99458	26.60654	8.057865
327	1	-6288.739	-6313.831	25.09217	26.74712	7.829639
328	0	-6307.417	-6327.619	20.20212	26.589	8.012466
329	1	-6279.112	-6309.724	30.612	25.81704	7.604884
330	0	-6292.588	-6331.406	38.81865	27.79153	7.335818
331	1	-6279.522	-6300.398	20.87585	26.56972	7.98709
332	0	-6294.177	-6320.173	25.99668	27.18645	7.797849
333	1	-6289.556	-6314.502	24.94636	28.80889	7.824532
334	0	-6303.79	-6324.186	20.39617	27.83116	7.998237
335	1	-6292.063	-6316.055	23.99131	25.52872	7.856032
336	0	-6288.142	-6306.019	17.87705	25.48582	8.095049
337	1	-6286.761	-6307.215	20.45412	25.11465	7.987099
338	0	-6273.023	-6306.286	33.26315	28.10764	7.536841
339	1	-6290.887	-6320.478	29.59166	27.66675	7.66769
340	0	-6321.079	-6335.497	14.41787	29.14843	8.180292
341	1	-6277.684	-6302.992	25.30758	26.41855	7.818887
342	0	-6293.235	-6316.035	22.79925	25.22331	7.896339
343	1	-6312.412	-6333.794	21.38133	27.42736	7.966319
344	0	-6297.318	-6320.298	22.98016	26.03349	7.903382
345	1	-6307.667	-6319.009	11.34201	23.27911	8.310087
346	0	-6297.469	-6312.288	14.81889	26.97565	8.211519
347	1	-6297.764	-6331.233	33.46861	28.17952	7.529664
348	0	-6287.996	-6309.072	21.07576	26.41336	7.979049
349	1	-6288.934	-6322.602	33.66844	29.056	7.520479
350	0	-6291.835	-6304.454	12.61955	23.52868	8.264778
351	1	-6288.206	-6314.185	25.97925	34.62198	7.610015
352	0	-6285.639	-6311.536	25.89666	27.47809	7.801645
353	1	-6304.177	-6324.885	20.7083	27.87664	7.986493
354	0	-6282.717	-6316.931	34.21419	26.01565	7.471349
355	1	-6293.865	-6323.81	29.9446	25.91225	7.633074
356	0	-6264.967	-6304.196	39.22927	29.30091	7.3289
357	1	-6276.55	-6306.081	29.53134	27.80833	7.67
358	0	-6279.481	-6304.507	25.02667	27.65461	7.83274
359	1	-6262.25	-6295.786	33.53525	29.93911	7.516209
360	0	-6275.429	-6312.087	36.65844	31.79865	7.381762
361	1	-6289.556	-6309.628	20.07221	23.3071	7.936585
362	0	-6289.359	-6319.508	30.14883	28.75217	7.644409
363	1	-6315.275	-6317.648	2.373136	22.72116	8.679971
364	0	-6285.078	-6299.858	14.77987	29.01257	8.171793
365	1	-6324.488	-6345.417	20.92909	27.49149	7.982324
366	0	-6271.824	-6302.749	30.92522	27.64633	7.619416
367	1	-6291.725	-6316.512	24.78708	26.8396	7.841502
368	0	-6310.012	-6329.24	19.22791	26.83135	8.048655
369	1	-6304.436	-6321.45	17.014	29.21353	8.089474
370	0	-6294.786	-6318.654	23.8682	24.52294	7.832503
371	1	-6305.414	-6318.669	13.25551	27.77855	8.255904
372	0	-6305.897	-6331.482	25.58499	26.01119	7.802971
373	1	-6299.419	-6321.383	21.9632	27.41296	7.945187
374	0	-6263.804	-6289.021	25.21737	27.73307	7.82551
375	1	-6285.839	-6309.948	24.10863	30.68431	7.8115
376	0	-6277.213	-6301.592	24.3796	27.91278	7.854531
377	1	-6283.718	-6307.902	24.18363	24.61499	7.822984
378	0	-6284.749	-6315.177	30.42847	28.09819	7.637707
379	1	-6302.704	-6309.763	7.059226	22.787	8.476475
380	0	-6287.955	-6329.187	41.23255	27.51163	7.244168
381	1	-6294.512	-6318.397	23.88482	26.27848	7.871468
382	0	-6279.524	-6305.791	26.26666	28.68359	7.780276
383	1	-6309.448	-6328.304	18.85616	26.0045	8.06162
384	0	-6312.913	-6329.81	16.89699	25.47528	8.133396
385	1	-6299.116	-6317.103	17.98693	28.88104	8.064421
386	0	-6292.554	-6315.476	22.92199	27.7092	7.908456
387	1	-6288	-6304.532	16.53198	28.15476	8.131178
388	0	-6302.147	-6330.1	27.95285	28.31591	7.724569
389	1	-6259.486	-6288.831	29.34459	29.58727	7.662104
390	0	-6303.641	-6325.514	21.87312	28.11495	7.941978
391	1	-6291.476	-6314.644	23.16872	27.99605	7.897127
392	0	-6275.058	-6305.745	30.68734	28.4508	7.627466
393	1	-6297.063	-6312.966	15.90237	23.97337	8.141868
394	0	-6323.306	-6326.797	3.490915	27.60066	8.613209
395	1	-6299.622	-6312.105	12.48269	24.10823	8.288009
396	0	-6261.855	-6288.677	26.82229	27.28812	7.767752
397	1	-6303.188	-6322.674	19.48647	25.01187	8.023523
398	0	-6283.204	-6305.682	22.47786	26.59379	7.926896
399	1	-6291.233	-6317.913	26.68085	30.26764	7.73788
400	0	-6274.994	-6303.941	28.94676	27.97264	7.690794
401	1	-6277.364	-6302.822	25.45809	27.76038	7.816708
402	0	-6298.133	-6318.588	20.45511	26.01807	8.000247
403	1	-6283.843	-6314.367	30.52375	24.82663	7.574734
404	0	-6294.127	-6317.468	23.34144	25.34791	7.877725
405	1	-6314.963	-6329.068	14.10508	27.9572	8.221698
406	0	-6282.856	-6300.854	17.99766	26.57021	8.095415
407	1	-6308.578	-6336.977	28.39883	27.16503	7.709373
408	0	-6304.119	-6319.143	15.02432	26.57503	8.207289
409	1	-6310.914	-6330.042	19.12785	24.57109	8.027169
410	0	-6289.328	-6303.242	13.91404	28.68352	8.210929
411	1	-6303.133	-6312.389	9.25605	21.19723	8.276391
412	0	-6285.603	-6302.278	16.67496	25.78076	8.144521
413	1	-6298.8	-6315.824	17.02431	24.53719	8.111942
414	0	-6259.084	-6302.101	43.01699	28.28406	7.192176
415	1	-6290.545	-6308.19	17.64422	28.52509	8.084352
416	0	-6287.865	-6308.299	20.43456	27.83443	7.99682
417	1	-6290.384	-6310.737	20.35378	27.1712	8.005495
418	0	-6300.893	-6321.912	21.01829	25.79005	7.976163
419	1	-6292.426	-6314.368	21.94122	25.49395	7.935727
420	0	-6287.077	-6303.749	16.67115	26.89165	8.143516
421	1	-6287.763	-6303.328	15.5652	26.58284	8.186893
422	0	-6291.585	-6314.234	22.64837	27.02528	7.921258
423	1	-6293.297	-6312.286	18.98938	26.1612	8.057335
424	0	-6290.137	-6316.561	26.42409	28.76977	7.773735
425	1	-6288.155	-6311.323	23.16761	24.31425	7.853282
426	0	-6273.48	-6302.388	28.90868	29.63065	7.676134
427	1	-6293.354	-6316.897	23.54324	25.48874	7.872781
428	0	-6286.905	-6309.3	22.39522	33.58188	7.759717
429	1	-6294.602	-6313.795	19.1931	26.88073	8.049777
430	0	-6304.058	-6323.026	18.96835	28.99283	8.027886
431	1	-6306.203	-6324.113	17.90985	27.8795	8.086836
432	0	-6289.808	-6322.314	32.50538	27.50846	7.561362
433	1	-6283.377	-6311.528	28.15125	25.05923	7.678742
434	0	-6272.301	-6300.956	28.6548	28.14676	7.700635
435	1	-6294.357	-6317.045	22.68822	26.8129	7.919658
436	0	-6294.914	-6318.911	23.99725	28.85026	7.856816
437	1	-6272.575	-6297.464	24.8891	26.21767	7.832532
438	0	-6295.462	-6319.366	23.90465	32.05055	7.774016
439	1	-6273.27	-6302.279	29.00837	25.28858	7.652292
