Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
3410	-6296.075	-6318.276	22.20127	25.70619	7.92907
3420	-6268.123	-6311.318	43.19546	31.35193	7.18246
3430	-6268.022	-6310.674	42.65122	26.36858	7.16062
3440	-6315.02	-6333.167	18.14767	26.6961	8.089453
3450	-6310.875	-6324.137	13.26221	26.1052	8.276459
3460	-6285.587	-6314.279	28.69191	29.81425	7.680277
3470	-6277.851	-6302.722	24.87067	26.31408	7.834351
3480	-6281.585	-6306.306	24.72102	31.97044	7.751319
3490	-6273.151	-6305.322	32.17114	28.66101	7.574535
3500	-6295.129	-6316.362	21.23305	30.97978	7.895657
3510	-6289.646	-6313.543	23.89643	26.61518	7.873681
3520	-6282.295	-6310.157	27.86116	24.86634	7.68347
3530	-6293.913	-6312.185	18.27193	29.17073	8.047507
3540	-6276.529	-6294.935	18.40598	25.71475	8.076791
3550	-6282.582	-6315.759	33.17695	26.898	7.529825
3560	-6281.977	-6306.485	24.50756	26.01993	7.844518
3570	-6265.782	-6294.367	28.5853	29.3271	7.691787
3580	-6278.814	-6312.445	33.63131	26.57597	7.50714
3590	-6289.565	-6312.351	22.78592	29.58606	7.883804
3600	-6264.475	-6288.608	24.13354	25.96934	7.85818
3610	-6300.447	-6325.16	24.7138	27.18496	7.845037
3620	-6287.886	-6310.238	22.3521	25.20948	7.913754
3630	-6292.679	-6321.934	29.25503	28.50113	7.677479
3640	-6283.363	-6310.919	27.55634	26.86129	7.7385
3650	-6279.488	-6310.074	30.58601	26.89538	7.626119
3660	-6284.683	-6315.805	31.12245	28.883	7.609591
3670	-6285.99	-6305.702	19.71195	31.01932	7.94338
3680	-6320.821	-6338.228	17.40668	26.01455	8.117399
3690	-6286.938	-6320.351	33.41349	30.41804	7.512981
3700	-6269.034	-6289.634	20.60007	28.05478	7.988094
3710	-6300.033	-6314.696	14.66291	24.46545	8.206625
3720	-6296.843	-6311.852	15.00871	24.42107	8.19146
3730	-6299.101	-6310.948	11.84702	26.4161	8.328421
3740	-6298.968	-6315.43	16.4619	24.33065	8.12953
3750	-6306.96	-6321.441	14.48072	23.81918	8.196227
3760	-6324.391	-6326.268	1.87653	27.00041	8.690586
3770	-6279.714	-6303.142	23.4279	25.6211	7.879851
3780	-6295.422	-6317.868	22.44572	25.1754	7.909251
3790	-6275.341	-6304.553	29.21179	27.8055	7.681492
3800	-6273.067	-6294.35	21.28282	29.3557	7.940129
3810	-6296.093	-6306.744	10.65071	28.71663	8.323668
3820	-6282.653	-6297.415	14.76129	26.02457	8.219087
3830	-6304.062	-6326.43	22.36776	26.32264	7.92953
3840	-6300.767	-6321.941	21.17394	26.43129	7.975409
3850	-6287.358	-6311.94	24.58247	29.29682	7.828852
3860	-6272.711	-6304.478	31.76628	27.83019	7.589696
3870	-6294.788	-6320.353	25.56469	29.3424	7.794509
3880	-6275.203	-6300.514	25.3104	27.53903	7.822844
3890	-6277.419	-6299.081	21.66179	26.05805	7.954263
3900	-6291.419	-6317.389	25.97054	26.58678	7.795498
3910	-6297.693	-6327.51	29.81705	30.15196	7.636509
3920	-6298.087	-6326.282	28.19524	27.99094	7.7176
3930	-6299.642	-6320.127	20.48559	23.49722	7.928877
3940	-6296.196	-6318.211	22.01553	23.63585	7.870974
3950	-6287.787	-6313.699	25.91227	26.5671	7.797511
3960	-6289.948	-6313.437	23.48866	29.47996	7.862372
3970	-6294.044	-6320.837	26.79303	31.98206	7.686131
3980	-6286.913	-6317.907	30.99457	27.50945	7.616289
3990	-6289.906	-6315.797	25.89081	28.96867	7.789482
4000	-6296.8	-6314.215	17.41549	31.97703	7.979554
4010	-6292.762	-6313.559	20.79693	26.25464	7.98884
4020	-6308.083	-6320.484	12.40146	26.20092	8.308936
4030	-6297.955	-6320.843	22.8878	27.81178	7.908876
4040	-6286.27	-6321.179	34.90874	30.37716	7.464442
4050	-6274.268	-6296.54	22.27198	27.60115	7.932748
4060	-6307.73	-6331.185	23.45438	25.49193	7.876332
4070	-6284.848	-6310.734	25.88583	28.61229	7.794423
4080	-6300.885	-6318.279	17.39395	25.87643	8.117232
4090	-6315.577	-6335.823	20.24557	28.24641	7.997873
4100	-6279.472	-6320.079	40.60777	30.03685	7.279403
4110	-6275.491	-6299.708	24.21788	25.38761	7.844071
4120	-6292.307	-6309.353	17.04563	27.29855	8.125912
4130	-6308.1	-6326.466	18.36561	29.41601	8.03789
4140	-6304.566	-6313.522	8.956425	24.90726	8.443981
4150	-6271.918	-6287.765	15.84689	23.88133	8.141066
4160	-6284.213	-6315.493	31.28032	24.54379	7.531267
4170	-6277.931	-6309.469	31.53815	27.66886	7.597344
4180	-6289.935	-6316.653	26.71787	29.01651	7.76026
4190	-6285.824	-6302.793	16.96895	25.39819	8.129724
4200	-6280.94	-6304.727	23.78709	25.06531	7.853062
4210	-6300.98	-6324.166	23.18625	25.5567	7.8881
4220	-6278.804	-6298.435	19.63117	24.79727	8.012755
4230	-6267.082	-6294.32	27.2381	28.18087	7.750755
4240	-6282.844	-6308.012	25.1673	29.14403	7.811585
4250	-6280.242	-6310.204	29.96206	25.08596	7.60747
4260	-6303.31	-6318.58	15.27021	26.54223	8.198225
4270	-6283.722	-6308.776	25.05414	30.34566	7.789656
4280	-6292.084	-6312.618	20.53347	28.51624	7.983221
4290	-6268.148	-6299.647	31.4981	27.55381	7.598237
4300	-6289.712	-6314.558	24.84621	27.19143	7.84017
4310	-6273.776	-6302.119	28.34323	24.12257	7.630864
4320	-6276.695	-6305.399	28.70404	29.05448	7.691354
4330	-6282.506	-6306.638	24.13289	27.9496	7.863076
4340	-6275.816	-6296.748	20.93191	27.80878	7.979235
4350	-6288.473	-6301.232	12.75897	26.28004	8.294841
4360	-6288.61	-6306.304	17.69437	27.2765	8.102371
4370	-6264.225	-6287.653	23.42774	26.36393	7.889612
4380	-6295.932	-6313.88	17.9482	25.61232	8.093638
4390	-6274.012	-6301.296	27.28323	30.3525	7.716042
4400	-6290.049	-6317.564	27.51508	27.09512	7.741569
4410	-6285.54	-6301.976	16.4353	25.22327	8.148643
4420	-6265.019	-6297.23	32.21132	26.64205	7.561737
4430	-6294.146	-6316.259	22.11259	27.67574	7.937944
4440	-6278.794	-6308.27	29.47616	27.38523	7.670998
4450	-6286.269	-6306.547	20.27886	27.71704	8.003759
4460	-6276.334	-6303.056	26.72185	28.29106	7.768245
4470	-6297.592	-6318.118	20.52585	26.27521	7.999274
4480	-6299.88	-6311.444	11.5645	27.1997	8.328477
4490	-6310.732	-6335.363	24.63102	25.96625	7.838976
4500	-6291.281	-6307.812	16.5311	26.04371	8.151126
4510	-6304.215	-6323.592	19.37701	25.24826	8.032458
4520	-6289.758	-6315.089	25.33133	25.55719	7.804177
4530	-6277.377	-6300.258	22.88121	23.80037	7.842638
4540	-6274.394	-6296.473	22.07907	25.95321	7.937105
4550	-6294.642	-6322.801	28.15886	27.69538	7.71947
4560	-6271.337	-6299.713	28.37689	26.31958	7.701194
4570	-6276.267	-6303.193	26.92553	27.06232	7.763178
4580	-6304.964	-6307.265	2.301542	24.96293	8.710881
4590	-6300.979	-6310.878	9.898982	27.89039	8.373893
4600	-6289.385	-6316.591	27.20631	26.35141	7.746116
4610	-6295.688	-6334.737	39.04888	27.95631	7.329475
